Ollie Briggs-Farmer

Peter Phelps-Builder

Warren Payne-Hunter

Katie Ramsey-Farmer

Lucille McCabe-Hunter

Nora Roth-Builder

Leo Helms-Farmer

Warren Grimes-Hunter

Arthur Coffman-Builder

Oliver Maxwell-Farmer

Sally Steiner-Hunter

Louisa Payne-Builder

Millie Bennett-Farmer

Jessie Hooper-Hunter

Paul Merritt-Builder

Reuben Dougherty-Hunter

Ruth Delaney-Farmer

Eva Swenson-Builder

Amelia Stanley-Farmer

Lydia Stern-Hunter

Sally Steiner-Builder

Louisa Payne-Hunter

Millie Bennett-Farmer
